question,option_a,option_b,option_c,option_d,answer,category,difficulty
Choose the synonym of 'bright'.,small,late,smart,weak,smart,Verbal,Easy
"If 8 workers finish a task in 9 days, how many worker-days are needed?",74,72,77,70,72,Puzzle,Hard
What is 60 + 31?,98,89,91,94,91,Quantitative,Medium
What is the square of 17?,294,290,289,288,289,Quantitative,Medium
"Find the next letter in the series: A, B, C, ?",C,D,F,E,D,Logical,Hard
Choose the synonym of 'honest'.,truthful,weak,small,late,truthful,Verbal,Hard
"If 5 workers finish a task in 2 days, how many worker-days are needed?",15,8,10,12,10,Puzzle,Hard
What is 88 + 34?,129,120,125,122,122,Quantitative,Hard
What is the square of 17?,290,288,294,289,289,Quantitative,Medium
"Find the next letter in the series: T, U, V, ?",X,V,Y,W,W,Logical,Medium
Choose the synonym of 'rapid'.,small,late,weak,fast,fast,Verbal,Hard
"If 7 workers finish a task in 9 days, how many worker-days are needed?",61,68,63,65,63,Puzzle,Easy
What is 82 + 10?,90,99,95,92,92,Quantitative,Medium
What is the square of 16?,261,256,257,255,256,Quantitative,Medium
"Find the next letter in the series: P, Q, R, ?",R,S,U,T,S,Logical,Easy
Choose the synonym of 'honest'.,weak,late,truthful,small,truthful,Verbal,Easy
"If 5 workers finish a task in 2 days, how many worker-days are needed?",15,8,12,10,10,Puzzle,Easy
What is 60 + 83?,150,141,146,143,143,Quantitative,Medium
What is the square of 5?,30,24,26,25,25,Quantitative,Medium
"Find the next letter in the series: G, H, I, ?",J,I,L,K,J,Logical,Hard
Choose the synonym of 'ancient'.,small,old,late,weak,old,Verbal,Medium
"If 6 workers finish a task in 10 days, how many worker-days are needed?",62,65,60,58,60,Puzzle,Hard
What is 80 + 46?,126,124,133,129,126,Quantitative,Hard
What is the square of 7?,50,54,48,49,49,Quantitative,Medium
"Find the next letter in the series: F, G, H, ?",K,J,I,H,I,Logical,Medium
Choose the synonym of 'rapid'.,fast,small,late,weak,fast,Verbal,Medium
"If 10 workers finish a task in 10 days, how many worker-days are needed?",105,98,100,102,100,Puzzle,Hard
What is 20 + 28?,55,51,48,46,48,Quantitative,Easy
What is the square of 13?,168,174,169,170,169,Quantitative,Hard
"Find the next letter in the series: F, G, H, ?",I,J,H,K,I,Logical,Easy
Choose the synonym of 'ancient'.,late,old,small,weak,old,Verbal,Hard
"If 2 workers finish a task in 2 days, how many worker-days are needed?",4,9,6,2,4,Puzzle,Hard
What is 53 + 44?,97,100,104,95,97,Quantitative,Easy
What is the square of 19?,362,360,361,366,361,Quantitative,Medium
"Find the next letter in the series: I, J, K, ?",K,L,M,N,L,Logical,Medium
Choose the synonym of 'bright'.,weak,small,late,smart,smart,Verbal,Hard
"If 9 workers finish a task in 6 days, how many worker-days are needed?",56,54,59,52,54,Puzzle,Medium
What is 92 + 33?,125,123,128,132,125,Quantitative,Hard
What is the square of 4?,16,17,15,21,16,Quantitative,Hard
"Find the next letter in the series: C, D, E, ?",E,G,H,F,F,Logical,Medium
Choose the synonym of 'ancient'.,weak,late,small,old,old,Verbal,Hard
"If 10 workers finish a task in 8 days, how many worker-days are needed?",82,80,85,78,80,Puzzle,Easy
What is 36 + 52?,91,86,95,88,88,Quantitative,Hard
What is the square of 11?,121,120,126,122,121,Quantitative,Easy
"Find the next letter in the series: K, L, M, ?",O,P,N,M,N,Logical,Easy
Choose the synonym of 'benefit'.,advantage,late,small,weak,advantage,Verbal,Medium
"If 9 workers finish a task in 2 days, how many worker-days are needed?",16,20,23,18,18,Puzzle,Easy
What is 23 + 57?,80,87,78,83,80,Quantitative,Hard
What is the square of 8?,65,63,69,64,64,Quantitative,Hard
"Find the next letter in the series: H, I, J, ?",J,M,L,K,K,Logical,Easy
Choose the synonym of 'honest'.,truthful,late,weak,small,truthful,Verbal,Hard
"If 8 workers finish a task in 2 days, how many worker-days are needed?",18,21,14,16,16,Puzzle,Easy
What is 43 + 18?,68,64,61,59,61,Quantitative,Easy
What is the square of 13?,168,170,174,169,169,Quantitative,Easy
"Find the next letter in the series: J, K, L, ?",M,L,O,N,M,Logical,Medium
Choose the synonym of 'bright'.,late,small,weak,smart,smart,Verbal,Easy
"If 6 workers finish a task in 9 days, how many worker-days are needed?",59,52,56,54,54,Puzzle,Hard
What is 69 + 21?,88,90,93,97,90,Quantitative,Hard
What is the square of 14?,201,195,197,196,196,Quantitative,Hard
"Find the next letter in the series: C, D, E, ?",F,H,E,G,F,Logical,Medium
Choose the synonym of 'honest'.,late,truthful,small,weak,truthful,Verbal,Hard
"If 4 workers finish a task in 7 days, how many worker-days are needed?",26,28,33,30,28,Puzzle,Medium
What is 49 + 30?,86,77,79,82,79,Quantitative,Hard
What is the square of 9?,82,86,80,81,81,Quantitative,Hard
"Find the next letter in the series: R, S, T, ?",W,T,U,V,U,Logical,Easy
Choose the synonym of 'bright'.,small,weak,late,smart,smart,Verbal,Medium
"If 9 workers finish a task in 9 days, how many worker-days are needed?",86,83,79,81,81,Puzzle,Hard
What is 90 + 77?,170,167,174,165,167,Quantitative,Medium
What is the square of 9?,80,81,86,82,81,Quantitative,Medium
"Find the next letter in the series: P, Q, R, ?",T,R,U,S,S,Logical,Easy
Choose the synonym of 'rapid'.,late,weak,fast,small,fast,Verbal,Medium
"If 2 workers finish a task in 9 days, how many worker-days are needed?",23,20,16,18,18,Puzzle,Medium
What is 79 + 12?,94,89,98,91,91,Quantitative,Easy
What is the square of 19?,360,366,361,362,361,Quantitative,Medium
"Find the next letter in the series: J, K, L, ?",N,M,L,O,M,Logical,Medium
Choose the synonym of 'bright'.,weak,late,small,smart,smart,Verbal,Hard
"If 8 workers finish a task in 3 days, how many worker-days are needed?",22,24,29,26,24,Puzzle,Easy
What is 60 + 96?,154,156,163,159,156,Quantitative,Easy
What is the square of 17?,290,289,288,294,289,Quantitative,Medium
"Find the next letter in the series: K, L, M, ?",O,N,M,P,N,Logical,Easy
Choose the synonym of 'ancient'.,small,late,weak,old,old,Verbal,Hard
"If 4 workers finish a task in 10 days, how many worker-days are needed?",45,38,42,40,40,Puzzle,Medium
What is 37 + 58?,98,102,95,93,95,Quantitative,Easy
What is the square of 6?,35,36,41,37,36,Quantitative,Medium
"Find the next letter in the series: N, O, P, ?",P,S,Q,R,Q,Logical,Easy
Choose the synonym of 'honest'.,truthful,late,weak,small,truthful,Verbal,Hard
"If 7 workers finish a task in 5 days, how many worker-days are needed?",37,33,40,35,35,Puzzle,Medium
What is 17 + 50?,70,67,65,74,67,Quantitative,Medium
What is the square of 10?,105,100,99,101,100,Quantitative,Easy
"Find the next letter in the series: T, U, V, ?",Y,V,X,W,W,Logical,Hard
Choose the synonym of 'rapid'.,small,fast,weak,late,fast,Verbal,Easy
"If 6 workers finish a task in 5 days, how many worker-days are needed?",28,30,35,32,30,Puzzle,Hard
What is 94 + 19?,120,111,113,116,113,Quantitative,Easy
What is the square of 9?,82,86,80,81,81,Quantitative,Easy
"Find the next letter in the series: J, K, L, ?",M,O,L,N,M,Logical,Medium
Choose the synonym of 'benefit'.,late,small,advantage,weak,advantage,Verbal,Hard
"If 4 workers finish a task in 7 days, how many worker-days are needed?",33,30,26,28,28,Puzzle,Easy
What is 96 + 19?,118,115,122,113,115,Quantitative,Easy
What is the square of 12?,145,143,149,144,144,Quantitative,Hard
"Find the next letter in the series: R, S, T, ?",T,U,V,W,U,Logical,Hard
Choose the synonym of 'honest'.,truthful,late,weak,small,truthful,Verbal,Easy
"If 8 workers finish a task in 7 days, how many worker-days are needed?",58,61,54,56,56,Puzzle,Medium
What is 49 + 95?,147,142,144,151,144,Quantitative,Easy
What is the square of 16?,257,256,261,255,256,Quantitative,Hard
"Find the next letter in the series: D, E, F, ?",H,I,G,F,G,Logical,Medium
Choose the synonym of 'rapid'.,fast,weak,small,late,fast,Verbal,Hard
"If 3 workers finish a task in 10 days, how many worker-days are needed?",30,35,32,28,30,Puzzle,Medium
What is 12 + 21?,36,33,31,40,33,Quantitative,Easy
What is the square of 3?,9,14,8,10,9,Quantitative,Easy
"Find the next letter in the series: N, O, P, ?",S,Q,P,R,Q,Logical,Hard
Choose the synonym of 'bright'.,late,smart,weak,small,smart,Verbal,Hard
"If 3 workers finish a task in 4 days, how many worker-days are needed?",14,17,10,12,12,Puzzle,Hard
What is 59 + 84?,150,141,146,143,143,Quantitative,Medium
What is the square of 11?,122,121,120,126,121,Quantitative,Hard
"Find the next letter in the series: L, M, N, ?",N,P,O,Q,O,Logical,Medium
Choose the synonym of 'honest'.,small,weak,late,truthful,truthful,Verbal,Easy
"If 8 workers finish a task in 4 days, how many worker-days are needed?",30,37,34,32,32,Puzzle,Easy
What is 54 + 51?,103,112,108,105,105,Quantitative,Medium
What is the square of 3?,14,10,8,9,9,Quantitative,Medium
"Find the next letter in the series: B, C, D, ?",D,F,E,G,E,Logical,Easy
Choose the synonym of 'ancient'.,small,old,weak,late,old,Verbal,Hard
"If 9 workers finish a task in 2 days, how many worker-days are needed?",18,23,20,16,18,Puzzle,Easy
What is 64 + 99?,166,161,163,170,163,Quantitative,Hard
What is the square of 9?,86,80,82,81,81,Quantitative,Easy
"Find the next letter in the series: P, Q, R, ?",S,R,U,T,S,Logical,Medium
Choose the synonym of 'benefit'.,small,weak,late,advantage,advantage,Verbal,Medium
"If 7 workers finish a task in 3 days, how many worker-days are needed?",19,26,21,23,21,Puzzle,Medium
What is 92 + 83?,173,178,175,182,175,Quantitative,Easy
What is the square of 18?,325,329,323,324,324,Quantitative,Easy
"Find the next letter in the series: D, E, F, ?",I,F,G,H,G,Logical,Hard
Choose the synonym of 'rapid'.,small,fast,late,weak,fast,Verbal,Hard
"If 2 workers finish a task in 8 days, how many worker-days are needed?",14,18,21,16,16,Puzzle,Medium
What is 70 + 37?,105,114,110,107,107,Quantitative,Hard
What is the square of 3?,9,8,10,14,9,Quantitative,Medium
"Find the next letter in the series: L, M, N, ?",O,N,P,Q,O,Logical,Medium
Choose the synonym of 'benefit'.,advantage,weak,small,late,advantage,Verbal,Easy
"If 6 workers finish a task in 2 days, how many worker-days are needed?",12,10,14,17,12,Puzzle,Hard
What is 66 + 46?,110,119,112,115,112,Quantitative,Hard
What is the square of 14?,197,195,196,201,196,Quantitative,Medium
"Find the next letter in the series: R, S, T, ?",W,T,V,U,U,Logical,Hard
Choose the synonym of 'rapid'.,small,fast,weak,late,fast,Verbal,Medium
"If 2 workers finish a task in 9 days, how many worker-days are needed?",16,18,20,23,18,Puzzle,Medium
What is 56 + 96?,150,152,155,159,152,Quantitative,Hard
What is the square of 8?,63,64,69,65,64,Quantitative,Hard
"Find the next letter in the series: B, C, D, ?",D,G,E,F,E,Logical,Easy
Choose the synonym of 'rapid'.,small,fast,weak,late,fast,Verbal,Easy
"If 4 workers finish a task in 9 days, how many worker-days are needed?",34,36,41,38,36,Puzzle,Medium
What is 72 + 28?,103,98,100,107,100,Quantitative,Easy
What is the square of 14?,195,196,197,201,196,Quantitative,Medium
"Find the next letter in the series: N, O, P, ?",Q,R,P,S,Q,Logical,Medium
Choose the synonym of 'honest'.,small,weak,truthful,late,truthful,Verbal,Easy
"If 6 workers finish a task in 8 days, how many worker-days are needed?",53,50,48,46,48,Puzzle,Medium
What is 63 + 49?,115,119,110,112,112,Quantitative,Medium
What is the square of 6?,41,36,37,35,36,Quantitative,Hard
"Find the next letter in the series: R, S, T, ?",W,U,T,V,U,Logical,Hard
Choose the synonym of 'ancient'.,weak,late,small,old,old,Verbal,Medium
"If 6 workers finish a task in 8 days, how many worker-days are needed?",46,53,48,50,48,Puzzle,Easy
What is 43 + 73?,114,119,116,123,116,Quantitative,Hard
What is the square of 6?,36,41,35,37,36,Quantitative,Easy
"Find the next letter in the series: E, F, G, ?",J,H,G,I,H,Logical,Medium
Choose the synonym of 'bright'.,small,smart,weak,late,smart,Verbal,Hard
"If 7 workers finish a task in 2 days, how many worker-days are needed?",14,12,19,16,14,Puzzle,Hard
What is 56 + 81?,135,140,144,137,137,Quantitative,Hard
What is the square of 3?,9,14,10,8,9,Quantitative,Easy
"Find the next letter in the series: C, D, E, ?",H,F,G,E,F,Logical,Medium
Choose the synonym of 'ancient'.,old,late,small,weak,old,Verbal,Hard
"If 5 workers finish a task in 2 days, how many worker-days are needed?",8,12,10,15,10,Puzzle,Medium
What is 19 + 97?,123,116,114,119,116,Quantitative,Hard
What is the square of 15?,224,226,225,230,225,Quantitative,Medium
"Find the next letter in the series: S, T, U, ?",U,X,V,W,V,Logical,Medium
Choose the synonym of 'benefit'.,small,weak,late,advantage,advantage,Verbal,Hard
"If 8 workers finish a task in 7 days, how many worker-days are needed?",56,58,61,54,56,Puzzle,Hard
What is 60 + 44?,104,107,111,102,104,Quantitative,Medium
What is the square of 13?,168,169,174,170,169,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",M,L,K,J,K,Logical,Easy
Choose the synonym of 'rapid'.,fast,small,weak,late,fast,Verbal,Hard
"If 4 workers finish a task in 10 days, how many worker-days are needed?",45,42,38,40,40,Puzzle,Hard
What is 13 + 73?,93,89,86,84,86,Quantitative,Easy
What is the square of 7?,49,48,54,50,49,Quantitative,Easy
"Find the next letter in the series: D, E, F, ?",G,H,I,F,G,Logical,Medium
Choose the synonym of 'bright'.,small,smart,weak,late,smart,Verbal,Hard
"If 4 workers finish a task in 3 days, how many worker-days are needed?",12,10,14,17,12,Puzzle,Hard
What is 48 + 72?,127,118,123,120,120,Quantitative,Medium
What is the square of 20?,399,400,405,401,400,Quantitative,Medium
"Find the next letter in the series: F, G, H, ?",H,K,I,J,I,Logical,Easy
Choose the synonym of 'rapid'.,fast,small,weak,late,fast,Verbal,Medium
"If 4 workers finish a task in 6 days, how many worker-days are needed?",24,29,26,22,24,Puzzle,Easy
What is 74 + 58?,139,135,130,132,132,Quantitative,Easy
What is the square of 13?,170,174,168,169,169,Quantitative,Hard
"Find the next letter in the series: K, L, M, ?",P,M,N,O,N,Logical,Easy
Choose the synonym of 'bright'.,late,small,weak,smart,smart,Verbal,Easy
"If 10 workers finish a task in 10 days, how many worker-days are needed?",100,105,98,102,100,Puzzle,Easy
What is 44 + 10?,52,57,54,61,54,Quantitative,Hard
What is the square of 3?,10,14,9,8,9,Quantitative,Hard
"Find the next letter in the series: J, K, L, ?",O,L,N,M,M,Logical,Hard
Choose the synonym of 'honest'.,truthful,small,weak,late,truthful,Verbal,Medium
"If 7 workers finish a task in 3 days, how many worker-days are needed?",19,26,21,23,21,Puzzle,Medium
What is 28 + 93?,128,121,124,119,121,Quantitative,Hard
What is the square of 20?,405,401,399,400,400,Quantitative,Hard
"Find the next letter in the series: K, L, M, ?",N,O,P,M,N,Logical,Easy
Choose the synonym of 'rapid'.,fast,small,weak,late,fast,Verbal,Hard
"If 3 workers finish a task in 6 days, how many worker-days are needed?",18,16,23,20,18,Puzzle,Medium
What is 51 + 10?,64,68,59,61,61,Quantitative,Hard
What is the square of 14?,201,196,195,197,196,Quantitative,Easy
"Find the next letter in the series: A, B, C, ?",D,C,E,F,D,Logical,Medium
Choose the synonym of 'honest'.,late,truthful,small,weak,truthful,Verbal,Medium
"If 7 workers finish a task in 8 days, how many worker-days are needed?",56,58,61,54,56,Puzzle,Medium
What is 48 + 10?,58,56,61,65,58,Quantitative,Easy
What is the square of 8?,65,69,63,64,64,Quantitative,Easy
"Find the next letter in the series: J, K, L, ?",M,O,L,N,M,Logical,Easy
Choose the synonym of 'rapid'.,fast,small,late,weak,fast,Verbal,Easy
"If 7 workers finish a task in 7 days, how many worker-days are needed?",49,54,51,47,49,Puzzle,Medium
What is 97 + 84?,181,184,188,179,181,Quantitative,Hard
What is the square of 10?,105,101,99,100,100,Quantitative,Medium
"Find the next letter in the series: E, F, G, ?",H,J,G,I,H,Logical,Easy
Choose the synonym of 'benefit'.,weak,small,advantage,late,advantage,Verbal,Hard
"If 6 workers finish a task in 4 days, how many worker-days are needed?",24,22,29,26,24,Puzzle,Hard
What is 56 + 48?,104,111,102,107,104,Quantitative,Medium
What is the square of 15?,224,230,226,225,225,Quantitative,Medium
"Find the next letter in the series: A, B, C, ?",F,D,C,E,D,Logical,Hard
Choose the synonym of 'bright'.,small,late,smart,weak,smart,Verbal,Easy
"If 5 workers finish a task in 5 days, how many worker-days are needed?",30,27,23,25,25,Puzzle,Hard
What is 95 + 59?,161,157,154,152,154,Quantitative,Medium
What is the square of 5?,25,30,26,24,25,Quantitative,Medium
"Find the next letter in the series: Q, R, S, ?",T,U,V,S,T,Logical,Medium
Choose the synonym of 'honest'.,late,truthful,weak,small,truthful,Verbal,Medium
"If 9 workers finish a task in 8 days, how many worker-days are needed?",72,77,70,74,72,Puzzle,Hard
What is 37 + 47?,82,87,84,91,84,Quantitative,Easy
What is the square of 13?,174,170,169,168,169,Quantitative,Easy
"Find the next letter in the series: R, S, T, ?",U,T,W,V,U,Logical,Easy
Choose the synonym of 'ancient'.,old,small,weak,late,old,Verbal,Hard
"If 2 workers finish a task in 5 days, how many worker-days are needed?",8,15,10,12,10,Puzzle,Medium
What is 87 + 18?,105,108,103,112,105,Quantitative,Easy
What is the square of 11?,120,122,126,121,121,Quantitative,Easy
"Find the next letter in the series: U, V, W, ?",X,Z,W,Y,X,Logical,Easy
Choose the synonym of 'benefit'.,advantage,late,weak,small,advantage,Verbal,Easy
"If 8 workers finish a task in 9 days, how many worker-days are needed?",72,77,74,70,72,Puzzle,Easy
What is 34 + 42?,83,76,79,74,76,Quantitative,Medium
What is the square of 10?,99,105,101,100,100,Quantitative,Hard
"Find the next letter in the series: O, P, Q, ?",Q,R,T,S,R,Logical,Hard
Choose the synonym of 'rapid'.,small,late,weak,fast,fast,Verbal,Medium
"If 3 workers finish a task in 8 days, how many worker-days are needed?",29,22,26,24,24,Puzzle,Hard
What is 71 + 65?,136,139,134,143,136,Quantitative,Easy
What is the square of 16?,261,257,255,256,256,Quantitative,Hard
"Find the next letter in the series: D, E, F, ?",F,I,G,H,G,Logical,Hard
Choose the synonym of 'honest'.,weak,late,truthful,small,truthful,Verbal,Hard
"If 9 workers finish a task in 5 days, how many worker-days are needed?",47,43,45,50,45,Puzzle,Easy
What is 93 + 14?,110,114,105,107,107,Quantitative,Medium
What is the square of 19?,362,360,366,361,361,Quantitative,Medium
"Find the next letter in the series: G, H, I, ?",I,K,J,L,J,Logical,Hard
Choose the synonym of 'benefit'.,small,late,advantage,weak,advantage,Verbal,Hard
"If 4 workers finish a task in 10 days, how many worker-days are needed?",40,38,42,45,40,Puzzle,Hard
What is 49 + 59?,108,111,115,106,108,Quantitative,Medium
What is the square of 11?,121,122,126,120,121,Quantitative,Hard
"Find the next letter in the series: L, M, N, ?",P,O,N,Q,O,Logical,Easy
Choose the synonym of 'rapid'.,small,weak,late,fast,fast,Verbal,Medium
"If 4 workers finish a task in 10 days, how many worker-days are needed?",40,45,42,38,40,Puzzle,Medium
What is 98 + 66?,164,171,162,167,164,Quantitative,Hard
What is the square of 17?,288,290,294,289,289,Quantitative,Medium
"Find the next letter in the series: E, F, G, ?",G,H,J,I,H,Logical,Hard
Choose the synonym of 'ancient'.,weak,late,small,old,old,Verbal,Medium
"If 6 workers finish a task in 3 days, how many worker-days are needed?",23,16,20,18,18,Puzzle,Easy
What is 85 + 64?,149,152,147,156,149,Quantitative,Easy
What is the square of 16?,261,255,257,256,256,Quantitative,Medium
"Find the next letter in the series: A, B, C, ?",F,D,C,E,D,Logical,Easy
Choose the synonym of 'ancient'.,small,late,old,weak,old,Verbal,Hard
"If 6 workers finish a task in 4 days, how many worker-days are needed?",24,26,29,22,24,Puzzle,Hard
What is 81 + 88?,169,167,172,176,169,Quantitative,Easy
What is the square of 11?,121,126,120,122,121,Quantitative,Hard
"Find the next letter in the series: D, E, F, ?",I,F,G,H,G,Logical,Hard
Choose the synonym of 'ancient'.,late,small,weak,old,old,Verbal,Easy
"If 2 workers finish a task in 10 days, how many worker-days are needed?",18,22,25,20,20,Puzzle,Hard
What is 93 + 72?,163,172,168,165,165,Quantitative,Medium
What is the square of 7?,50,54,48,49,49,Quantitative,Easy
"Find the next letter in the series: T, U, V, ?",V,W,X,Y,W,Logical,Hard
Choose the synonym of 'bright'.,weak,smart,small,late,smart,Verbal,Easy
"If 4 workers finish a task in 3 days, how many worker-days are needed?",10,12,14,17,12,Puzzle,Hard
What is 74 + 32?,109,113,104,106,106,Quantitative,Hard
What is the square of 17?,289,294,288,290,289,Quantitative,Medium
"Find the next letter in the series: T, U, V, ?",V,Y,X,W,W,Logical,Medium
Choose the synonym of 'honest'.,late,truthful,small,weak,truthful,Verbal,Medium
"If 2 workers finish a task in 5 days, how many worker-days are needed?",8,10,12,15,10,Puzzle,Hard
What is 61 + 60?,121,124,128,119,121,Quantitative,Hard
What is the square of 18?,329,325,324,323,324,Quantitative,Hard
"Find the next letter in the series: O, P, Q, ?",Q,R,S,T,R,Logical,Hard
Choose the synonym of 'ancient'.,old,late,weak,small,old,Verbal,Medium
"If 5 workers finish a task in 7 days, how many worker-days are needed?",37,40,35,33,35,Puzzle,Hard
What is 15 + 12?,30,25,27,34,27,Quantitative,Medium
What is the square of 14?,197,195,196,201,196,Quantitative,Easy
"Find the next letter in the series: T, U, V, ?",Y,X,W,V,W,Logical,Medium
Choose the synonym of 'ancient'.,small,weak,late,old,old,Verbal,Easy
"If 6 workers finish a task in 2 days, how many worker-days are needed?",17,14,12,10,12,Puzzle,Easy
What is 67 + 79?,146,149,144,153,146,Quantitative,Medium
What is the square of 3?,10,9,14,8,9,Quantitative,Hard
"Find the next letter in the series: M, N, O, ?",P,Q,R,O,P,Logical,Hard
Choose the synonym of 'benefit'.,late,small,advantage,weak,advantage,Verbal,Easy
"If 8 workers finish a task in 8 days, how many worker-days are needed?",64,69,62,66,64,Puzzle,Easy
What is 46 + 43?,87,92,89,96,89,Quantitative,Hard
What is the square of 12?,144,143,149,145,144,Quantitative,Medium
"Find the next letter in the series: J, K, L, ?",L,O,N,M,M,Logical,Easy
Choose the synonym of 'benefit'.,weak,advantage,late,small,advantage,Verbal,Hard
"If 3 workers finish a task in 2 days, how many worker-days are needed?",4,11,8,6,6,Puzzle,Medium
What is 75 + 50?,123,128,125,132,125,Quantitative,Easy
What is the square of 3?,8,14,9,10,9,Quantitative,Easy
"Find the next letter in the series: L, M, N, ?",N,P,O,Q,O,Logical,Medium
Choose the synonym of 'honest'.,truthful,weak,small,late,truthful,Verbal,Easy
"If 3 workers finish a task in 4 days, how many worker-days are needed?",17,10,12,14,12,Puzzle,Medium
What is 41 + 18?,66,59,57,62,59,Quantitative,Easy
What is the square of 17?,294,288,290,289,289,Quantitative,Medium
"Find the next letter in the series: P, Q, R, ?",S,T,U,R,S,Logical,Easy
Choose the synonym of 'honest'.,small,weak,late,truthful,truthful,Verbal,Hard
"If 7 workers finish a task in 8 days, how many worker-days are needed?",56,58,61,54,56,Puzzle,Easy
What is 14 + 14?,35,26,31,28,28,Quantitative,Medium
What is the square of 13?,168,174,170,169,169,Quantitative,Hard
"Find the next letter in the series: C, D, E, ?",H,F,G,E,F,Logical,Easy
Choose the synonym of 'ancient'.,late,small,weak,old,old,Verbal,Easy
"If 9 workers finish a task in 9 days, how many worker-days are needed?",83,81,79,86,81,Puzzle,Medium
What is 11 + 85?,96,103,94,99,96,Quantitative,Hard
What is the square of 6?,37,35,36,41,36,Quantitative,Easy
"Find the next letter in the series: U, V, W, ?",Y,X,Z,W,X,Logical,Hard
Choose the synonym of 'benefit'.,weak,small,advantage,late,advantage,Verbal,Medium
"If 8 workers finish a task in 9 days, how many worker-days are needed?",70,74,72,77,72,Puzzle,Hard
What is 38 + 68?,106,109,104,113,106,Quantitative,Medium
What is the square of 18?,324,329,323,325,324,Quantitative,Medium
"Find the next letter in the series: K, L, M, ?",O,N,M,P,N,Logical,Easy
Choose the synonym of 'rapid'.,weak,small,late,fast,fast,Verbal,Hard
"If 3 workers finish a task in 6 days, how many worker-days are needed?",20,23,18,16,18,Puzzle,Medium
What is 40 + 29?,72,76,67,69,69,Quantitative,Hard
What is the square of 11?,122,126,121,120,121,Quantitative,Medium
"Find the next letter in the series: S, T, U, ?",V,U,X,W,V,Logical,Easy
Choose the synonym of 'rapid'.,weak,small,fast,late,fast,Verbal,Medium
"If 8 workers finish a task in 4 days, how many worker-days are needed?",32,30,37,34,32,Puzzle,Easy
What is 23 + 20?,46,50,41,43,43,Quantitative,Easy
What is the square of 11?,122,121,126,120,121,Quantitative,Hard
"Find the next letter in the series: M, N, O, ?",O,Q,R,P,P,Logical,Easy
Choose the synonym of 'ancient'.,old,weak,small,late,old,Verbal,Easy
"If 10 workers finish a task in 5 days, how many worker-days are needed?",55,48,50,52,50,Puzzle,Medium
What is 52 + 95?,147,150,145,154,147,Quantitative,Easy
What is the square of 10?,100,101,105,99,100,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",J,L,K,M,K,Logical,Hard
Choose the synonym of 'rapid'.,fast,late,weak,small,fast,Verbal,Easy
"If 6 workers finish a task in 7 days, how many worker-days are needed?",42,47,44,40,42,Puzzle,Medium
What is 88 + 22?,117,110,108,113,110,Quantitative,Medium
What is the square of 11?,122,121,126,120,121,Quantitative,Medium
"Find the next letter in the series: L, M, N, ?",O,N,P,Q,O,Logical,Hard
Choose the synonym of 'bright'.,smart,late,weak,small,smart,Verbal,Easy
"If 9 workers finish a task in 7 days, how many worker-days are needed?",63,61,68,65,63,Puzzle,Medium
What is 45 + 97?,149,140,145,142,142,Quantitative,Hard
What is the square of 20?,405,399,401,400,400,Quantitative,Medium
"Find the next letter in the series: Q, R, S, ?",T,U,S,V,T,Logical,Easy
Choose the synonym of 'ancient'.,old,small,weak,late,old,Verbal,Easy
"If 6 workers finish a task in 6 days, how many worker-days are needed?",34,41,36,38,36,Puzzle,Hard
What is 92 + 94?,186,193,184,189,186,Quantitative,Medium
What is the square of 16?,255,257,261,256,256,Quantitative,Easy
"Find the next letter in the series: E, F, G, ?",H,I,G,J,H,Logical,Hard
Choose the synonym of 'honest'.,small,weak,truthful,late,truthful,Verbal,Hard
"If 6 workers finish a task in 4 days, how many worker-days are needed?",26,24,22,29,24,Puzzle,Hard
What is 17 + 60?,80,75,77,84,77,Quantitative,Medium
What is the square of 15?,230,224,226,225,225,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",K,M,J,L,K,Logical,Medium
Choose the synonym of 'honest'.,truthful,small,late,weak,truthful,Verbal,Easy
"If 2 workers finish a task in 8 days, how many worker-days are needed?",16,21,18,14,16,Puzzle,Medium
What is 25 + 84?,109,116,107,112,109,Quantitative,Medium
What is the square of 10?,99,100,105,101,100,Quantitative,Hard
"Find the next letter in the series: O, P, Q, ?",T,Q,R,S,R,Logical,Medium
Choose the synonym of 'bright'.,late,small,weak,smart,smart,Verbal,Medium
"If 10 workers finish a task in 6 days, how many worker-days are needed?",60,58,62,65,60,Puzzle,Hard
What is 87 + 35?,125,129,122,120,122,Quantitative,Medium
What is the square of 12?,144,145,143,149,144,Quantitative,Medium
"Find the next letter in the series: Q, R, S, ?",T,U,S,V,T,Logical,Easy
Choose the synonym of 'rapid'.,late,fast,small,weak,fast,Verbal,Easy
"If 2 workers finish a task in 6 days, how many worker-days are needed?",12,17,14,10,12,Puzzle,Hard
What is 90 + 65?,162,155,158,153,155,Quantitative,Medium
What is the square of 20?,405,400,399,401,400,Quantitative,Hard
"Find the next letter in the series: E, F, G, ?",H,G,I,J,H,Logical,Easy
Choose the synonym of 'benefit'.,weak,small,late,advantage,advantage,Verbal,Hard
"If 6 workers finish a task in 6 days, how many worker-days are needed?",41,34,36,38,36,Puzzle,Medium
What is 15 + 91?,113,104,109,106,106,Quantitative,Easy
What is the square of 7?,49,54,50,48,49,Quantitative,Easy
"Find the next letter in the series: H, I, J, ?",K,L,M,J,K,Logical,Medium
